?,T(?)
200,0.0000767
201,0.000077
202,0.0000773
203,0.0000778
204,0.0000779
205,0.0000781
206,0.0000787
207,0.000079
208,0.0000792
209,0.0000797
210,0.0000802
211,0.0000809
212,0.0000826
213,0.0000834
214,0.0000834
215,0.0000839
216,0.0000848
217,0.0000853
218,0.0000858
219,0.0000868
220,0.0000869
221,0.0000872
222,0.0000883
223,0.0000893
224,0.0000898
225,0.0000934
226,0.0000964
227,0.000099
228,0.0000993
229,0.0001001
230,0.0001038
231,0.0001049
232,0.0001053
233,0.0001078
234,0.0001079
235,0.0001135
236,0.0001144
237,0.0001152
238,0.0001173
239,0.00012
240,0.0001229
241,0.0001234
242,0.0001241
243,0.0001277
244,0.0001281
245,0.0001309
246,0.0001315
247,0.0001325
248,0.0001339
249,0.0001369
250,0.0001389
251,0.0001397
252,0.0001435
253,0.0001484
254,0.0001501
255,0.0001574
256,0.0001591
257,0.0001626
258,0.0001661
259,0.0001744
260,0.0001821
261,0.0002022
262,0.0002078
263,0.0002177
264,0.0002219
265,0.0002228
266,0.0002304
267,0.0002396
268,0.00024
269,0.0002515
270,0.000254
271,0.0002571
272,0.0002684
273,0.0002712
274,0.0002842
275,0.0002897
276,0.0002933
277,0.0003059
278,0.00031
279,0.0003314
280,0.0003375
281,0.0003577
282,0.0003627
283,0.0003833
284,0.0003994
285,0.0004191
286,0.0004481
287,0.0004513
288,0.0005298
289,0.0006277
290,0.0007677
291,0.0009462
292,0.0012251
293,0.0015759
294,0.0020631
295,0.00268
296,0.0035075
297,0.0045467
298,0.0058984
299,0.007567
300,0.0096407
301,0.0120295
302,0.0150223
303,0.0185108
304,0.0224217
305,0.0270378
306,0.0322534
307,0.0380188
308,0.0425415
309,0.0511419
310,0.0587634
311,0.0664681
312,0.0752274
313,0.083919
314,0.0928831
315,0.1023231
316,0.1118993
317,0.1218388
318,0.1316269
319,0.141599
320,0.151762
321,0.1620828
322,0.1719258
323,0.1817491
324,0.1913762
325,0.2007061
326,0.2102733
327,0.2187574
328,0.2277215
329,0.2356449
330,0.2434031
331,0.2513945
332,0.2585658
333,0.265645
334,0.2721441
335,0.2781229
336,0.2840813
337,0.2898647
338,0.2992695
339,0.3040461
340,0.3093847
341,0.3135993
342,0.3214667
343,0.3254004
344,0.3296151
345,0.3335487
346,0.3366395
347,0.3402922
348,0.3459118
349,0.3481315
350,0.351728
351,0.3544254
352,0.3580925
353,0.3594327
354,0.3610565
355,0.3626412
356,0.3639786
357,0.3650576
358,0.3662878
359,0.3675688
360,0.3690362
361,0.3701602
362,0.3710593
363,0.3726328
364,0.3737567
365,0.3752762
366,0.3769737
367,0.3779524
368,0.3798118
369,0.3811745
370,0.3831975
371,0.3840967
372,0.3846586
373,0.3860916
374,0.3863726
375,0.3869345
376,0.3872155
377,0.3889295
378,0.3898286
379,0.3903906
380,0.3924136
381,0.3935375
382,0.3952587
383,0.396469
